1,Agoo,NAF840
2,Agoo,AAC230
3,Agoo,AAH380
4,Agoo,ABH390
5,Agoo,ABJ300
6,Agoo,ABJ520
7,Agoo,ABP340
8,Agoo,ABT310
9,Agoo,ABU490
10,Agoo,ACG580
11,Agoo,ACR560
12,Agoo,ACR850
13,Agoo,ACT510
14,Agoo,ACT570
15,Agoo,ACV790
16,Agoo,ACW760
17,Agoo,ADB820
18,Agoo,ADD390
19,Agoo,ADF130
20,Agoo,ADL790
21,Agoo,ADT730
22,Agoo,ADT760
23,Agoo,ADU530
24,Agoo,ADW650
25,Agoo,ADW850
26,Agoo,ADX370
27,Agoo,ADX440
28,Agoo,ADZ810
29,Agoo,AEC790
30,Agoo,AEE580
31,Agoo,AEH170
32,Agoo,AEH880
33,Agoo,AEH940
34,Agoo,AEK150
35,Agoo,AEK270
36,Agoo,AEK500
37,Agoo,AEN220
38,Agoo,AEN370
39,Agoo,AEN620
40,Agoo,AEP410
41,Agoo,AER300
42,Agoo,AER670
44,Agoo,AER770
45,Agoo,AER850
46,Agoo,AES480
47,Agoo,AES940
48,Agoo,AET510
49,Agoo,AEV190
50,Agoo,AEV210
51,Agoo,AEV270
52,Agoo,AEV330
53,Agoo,AEV470
54,Agoo,AEE580
55,Agoo,AEH170
56,Agoo,AEH880
57,Agoo,AEH940
58,Agoo,AEK150
59,Agoo,AEK270
60,Agoo,AEK500
61,Agoo,AEN220
62,Agoo,AEN370
63,Agoo,AEN620
64,Agoo,AEP410
65,Agoo,AER300
66,Agoo,AER670
67,Agoo,AER770
68,Agoo,AER850
69,Agoo,AES480
70,Agoo,AES940
71,Agoo,AET510
72,Agoo,AEV190
73,Agoo,AEV210
74,Agoo,AEV270
75,Agoo,AEV330
76,Agoo,AEV470
77,Agoo,AEW320
78,Agoo,AEX650
79,Agoo,AEX730
80,Agoo,AEX840
81,Agoo,AEY540
82,Agoo,AEZ940
83,Agoo,AEZ250
84,Agoo,AEZ270
85,Agoo,AEZ 290
86,Agoo,AFA520
87,Agoo,AFB610
88,Agoo,AFB690
89,Agoo,AFC360
90,Agoo,AFC420
91,Agoo,AFC500
92,Agoo,AHA140
93,Agoo,AHC370
94,Agoo,AHH800
95,Agoo,AHH950
96,Agoo,AHJ710
97,Agoo,AHL200
98,Agoo,AJA800
99,Agoo,AVB210
100,Agoo,AWA680
101,Agoo,BBK280
102,Agoo,BBK330
103,Agoo,BCK810
104,Agoo,BDA270
105,Agoo,BDD730
106,Agoo,BDP970
107,Agoo,BDV860
108,Agoo,BDX750
109,Agoo,BDY890
110,Agoo,BEB550
111,Agoo,BEF790
112,Agoo,BEL980
113,Agoo,BER440
114,Agoo,BEW540
